charite_doi,identifier_from_data_article_analysis
10.1016/j.dib.2016.02.047,n/a
10.1016/j.dib.2016.06.021,n/a
10.1016/j.dib.2016.07.009,n/a
10.1016/j.dib.2016.09.012,n/a
10.1016/j.dib.2017.08.034,n/a
10.1016/j.dib.2017.11.062,n/a
10.1038/s41597-019-0129-z,10.18112/openneuro.ds001875.v1.0.3
10.1038/s41597-019-0129-z,https://doi.org/10.5281/zenodo.1471588
10.1038/s41597-019-0161-z,SRP136594
10.1038/s41597-019-0161-z,SRMA00000000
10.1038/s41597-019-0161-z,GHNV00000000
10.1038/s41597-019-0161-z,10.6084/m9.figshare.c.4437488
10.1038/s41597-019-0254-8,10.5061/dryad.119f80q
10.1038/s41597-019-0254-8,10.18112/openneuro.ds002179.v1.1.0
10.1016/j.dib.2020.105653,n/a
10.1038/s41597-020-00597-w,10.6084/m9.figshare.c.4869732
10.1038/s41597-020-00597-w,http://www.vocaltractlab.de/dvtd.zip
10.1038/s41597-020-00773-y,https://zenodo.org/records/4059716
10.1038/s41597-020-0487-6,PXD016782
10.1038/s41597-020-0487-6,10.17632/nr7cs764rc.1
10.1038/s41597-020-0495-6,https://physionet.org/content/ptb-xl/1.0.3/
10.1016/j.dib.2021.107011,10.17632/fzcmhhjs76.3
10.1016/j.dib.2021.107320,GSE173610
10.1016/j.dib.2021.107604,10.17632/mtd59df24s.2
10.1038/s41597-021-00913-y,https://doi.org/10.6084/m9.figshare.c.5222051
10.1016/j.dib.2022.108347,10.17632/wrhr5862cb.1
10.1016/j.dib.2022.108399,10.17605/OSF.IO/D34Y5
10.1016/j.dib.2022.108542,https://github.com/emilywavery/Radiomics-data-sharing
10.1016/j.dib.2022.108649,10.17632/vfpxcbk5bx.4
10.1016/j.dib.2022.108739,10.5281/zenodo.6481140
10.1038/s41597-022-01401-7,10.3886/ICPSR36684.v4
10.1038/s41597-022-01401-7,https://github.com/npnl/ATLAS/
10.1038/s41597-022-01532-x,10.6019/CHEMBL4495565
10.1038/s41597-022-01532-x,https://doi.org/10.6084/m9.figshare.19316219.v1
10.1038/s41597-022-01532-x,https://doi.org/10.6084/m9.figshare.19298807.v2
10.1038/s41597-022-01532-x,https://doi.org/10.6084/m9.figshare.19255067.v3
10.1038/s41597-022-01669-9,https://napkon.de/statistik/
10.1038/s41597-022-01669-9,10.5281/zenodo.6576176
10.1038/s41597-022-01806-4,https://openneuro.org/datasets/ds001226
10.1038/s41597-022-01806-4,https://openneuro.org/datasets/ds002080
10.1038/s41597-022-01822-4,10.17605/OSF.IO/8MBRU
10.1038/s41597-022-01822-4,https://alteredstatesdb.org/
